id,lat,long,misc
476,-54,20,S54 00 E020 00           
477,-54,30,S54 00 E030 00           
478,-55,0,S55 00 E000 00           
479,-55,5,S55 00 E005 00           
480,-55,10,S55 00 E010 00           
481,-55,20,S55 00 E020 00           
482,-55,30,S55 00 W030 00           
483,-23.39,43.72166667,5SQ                      
484,0.325,22.625,62KGI                    
485,-8.35,29.76666667,75MA                     
486,-21.04333333,52.92666667,S2102                    
487,-21.2,41.35,A2112                    
488,3.023333333,-2.165,ABAC1                    
489,5.983333333,-0.2166666667,ABM ACC                  
490,16.05,4.583333333,ABALA                    
491,-17.82722222,19.03361111,ABAPU                    
492,34.82944444,10.95944444,ABATI                    
493,30.53722222,-8.553055556,ABATO                    
494,4.44,18.78,ABAVO                    
495,-29.38833333,27.34333333,ABBLV                    
496,37.08166667,7.038333333,ABM CONSTANTINE          
497,37.88916667,10.62861111,ABDAB                    
498,35.80583333,11.29,ABDIN                    
499,29.7675,1.315555556,ABDIT                    
500,31.88638889,-7.498611111,ABDOR                    
501,14.37111111,20.51194444,ABEPI                    
502,-22.75666667,47.16166667,ABFG                     
503,-22.72333333,47.32666667,ABFG1                    
504,-21.01388889,26.87222222,ABM FTV                  
505,-25.46333333,25.46166667,ABGBV                    
506,-21.09666667,52.85833333,ABGER                    
507,35.44611111,-3.746388889,ABGIS                    
508,35.91722222,10.50166667,ABGOL                    
509,-5.108611111,16.525,ABGUV                    
510,-3.035,25.175,ABGUX                    
511,6.129166667,-6.290555556,ABIPO                    
512,35.80472222,-6.289722222,ABIRO                    
513,34.44888889,-2.234722222,ABKAN                    
514,-22.60833333,23.57666667,ABKG1                    
515,-24.37,22.50666667,ABKG2                    
516,-23.52583333,22.88805556,ABKGV                    
517,-5.866666667,12.13472222,ABM KIT                  
518,-23.55916667,26.13972222,ABM KUTLA                
519,-28.90166667,24.83666667,ABKYV                    
520,5.833333333,2.683333333,ABLAG                    
521,-21.65,47.895,ABLAK                    
522,31.23944444,2.481666667,ABLOD                    
523,-28.64833333,25.84333333,S28 38 9 E025 50 6 ABM BL
524,-15.5,22.77333333,ABEAM MONGU              
525,33.9,-7.833333333,ABMIL                    
526,-29.19666667,25.13333333,S29 11 8 E025 08 0 ABM KM
527,11.51666667,-9.916666667,ABM KN                   
528,-12.86166667,27.85333333,ABEAM KT                 
529,7.916666667,1.5,ABEAM PAMPA              
530,-17.6,49.72833333,ABMT1                    
531,-16.55,51.23333333,ABMT2                    
532,20.09361111,0.8147222222,ABNEB                    
533,-13.485,48.98166667,ABNSB                    
534,35.41388889,-7.833333333,ABODA                    
535,13.90166667,19.32638889,ABOXO                    
536,-14.30166667,49.32,ABSB                     
537,-20.74333333,55.48666667,ABSDG                    
538,-24.20833333,24.72361111,ABM SINKI                
539,-32.38666667,20.555,ABSLV                    
540,32.84888889,-12.80166667,ABTIR                    
541,-12.93333333,31.66666667,ABEAM VMF                
542,-22.005,43.60833333,ABVSQ                    
543,14.36666667,-16.33333333,ABM YF2                  
544,5.386666667,-2.738333333,AD71                     
545,5.697222222,41.855,ADABA                    
546,35.96666667,-9.572777778,ADILI                    
547,-13.37555556,32.32166667,ADMIS                    
548,-29.71388889,31.3125,ADDINGTON                
549,20.03388889,0.8783333333,ADOKO                    
550,20.03388889,19.32638889,ADOKO                    
551,28.56805556,-13.79472222,ADOVO                    
552,35.71333333,9.638611111,ADRAM                    
553,34.84055556,-2.284444444,ADRER                    
554,36.77611111,10.65277778,ADRIL                    
555,8.565,38.065,ADS 240 D50              
556,27.30666667,14,AGAAR                    
557,30.72777778,-9.496666667,AGALI                    
558,30.31444444,-9.094722222,AGAMU                    
559,34.11666667,-7.314444444,AGDAL                    
560,-5.64,22.68,AGDUP                    
561,32.02027778,-7.199444444,AGOVA                    
562,-18.00277778,21.66666667,AGRAM                    
563,9.065555556,-0.7583333333,AGRAT                    
564,31.88277778,-0.5783333333,AGREB                    
565,4.864444444,-1.866666667,AGREM                    
566,16.775,11.69944444,AGRIM                    
567,18.22416667,-16.23166667,AGROB                    
568,8,12.40111111,AGROD                    
569,8.866666667,-12.91666667,AGSIL                    
570,-0.14,7.944444444,AGSIM                    
571,12.51,6.7925,AGSOX                    
572,11.95,6.7,ABM GUSAU                
573,7.189166667,-7.791944444,AGSUD                    
574,5.835277778,-5.462222222,AGTAB                    
575,9.871388889,9.2725,AGTAD                    
576,13.89833333,-24.34277778,AGTIL                    
577,1.109444444,12.47527778,AGTIR                    
578,1.953055556,18.08916667,AGTOM                    
579,11.70027778,9.144444444,AGTUB                    
580,5.500277778,6.432222222,AGVAV                    
581,0.2416666667,29.425,AGVIR                    
582,6.586944444,7.722777778,AGVUL                    
583,7.346388889,5.345833333,AK800                    
584,7.144722222,5.255,AK900                    
585,7.068333333,5.220555556,AK901                    
586,-5.916666667,28.33333333,ABM KALEMIE              
587,5.496388889,5.479722222,AKBAV                    
588,0.8172222222,30.33333333,AKBON                    
589,5.863611111,0.02944444444,AKBUL                    
590,18.48861111,-16.09861111,AKDAD                    
591,10.35,-15.6,AKDAK                    
592,20.45194444,1.077777778,AKDEK                    
593,10.94611111,16.78805556,AKDET                    
594,3.841666667,20.705,AKDEV                    
595,5.591944444,6.336666667,AKDIT                    
596,7.088611111,9.189444444,AKLIS                    
597,5.485,-3.923888889,AKLOS                    
598,6.518888889,7.819444444,AKLOV                    
599,9.743055556,-0.7972222222,AKMAK                    
600,-10.01666667,24.55,AKMEX                    
601,6.421944444,7.751388889,AKMIB                    
602,25.64166667,18.89166667,AKMID                    
603,7.741666667,10.38333333,AKMOX                    
604,9.120555556,-13.11944444,AKNAM                    
605,-7.676666667,26.77166667,AKNAR                    
606,-5.111666667,22.8,AKROS                    
607,-11.31277778,27.95472222,AKUGA                    
608,-1.008055556,34.02638889,AKUMU                    
609,7.166666667,3.25,AKUTA                    
610,-23.55277778,26.13611111,AKUTA                    
611,-29.15,25.11833333,AKYV1                    
612,30.43333333,15,ALBEY                    
613,22,35.45,ALEBA                    
614,28.90194444,-13.34472222,ALEDU                    
615,4.003333333,39.665,ALEMU                    
616,-26.97638889,32.16027778,ALENI                    
617,9.367777778,39.12527778,ALETU                    
618,28.16666667,15.26666667,ALGAF                    
619,-33.18333333,25.85194444,ALKAT                    
620,22.36444444,31.51444444,ALKED                    
621,20.10527778,37.52305556,ALKET                    
622,34.21972222,-4.746388889,ALKIX                    
623,-0.4333333333,33.96666667,ALKON                    
624,7.676388889,45.75833333,ALKOS                    
625,25.47277778,34.12083333,ALKUN                    
626,9.5625,24.7475,ALMAM                    
627,27.02305556,34.23027778,ALMOD                    
628,8.918611111,44.21722222,ALNAB                    
629,30.90055556,29.71694444,ALPAM                    
630,29.39861111,31.30305556,ALPID                    
631,17.19194444,32.14194444,ALPOX                    
632,36.98333333,3.136666667,ALR20                    
633,-10,56.3725,ALRAN                    
634,13.6625,36.22888889,ALRAP                    
635,-4.216666667,47.96388889,ALRUS                    
636,-1.451111111,30.74444444,ALSAR                    
637,13.41277778,25.06027778,ALSUG                    
638,26.60055556,29.77166667,ALTAT                    
639,30.56472222,31.27277778,ALTOX                    
640,29.46888889,-13.01055556,ALUGO                    
641,-20.13277778,55.51944444,ALUNA                    
642,16.1,28.02666667,ALVOR                    
643,-10.365,39.24833333,ABM MTWARA               
644,29.01638889,-13.08444444,AMAPI                    
645,5.31,35.02333333,AMATO                    
646,-10,55.64861111,AMBAN                    
647,-17.3775,55.5,AMBOD                    
648,0.8833333333,18.35,AMBUD                    
649,20.91666667,-18,AMDIB                    
650,19.05666667,14.78527778,AMDIR                    
651,4.701944444,-1.789166667,AMDIS                    
652,14.35333333,-26.35833333,AMDOL                    
653,-1.43,24.39666667,AMGES                    
654,34.87166667,10.45111111,AMINA                    
655,34.8,6.983888889,AMIRA                    
656,14.87583333,-5.222777778,AMKAL                    
657,33.92777778,-5.259444444,AMKAS                    
658,9.951666667,-11.4,AMKAX                    
659,0.001666666667,-1.103333333,AMKEL                    
660,0.4461111111,25.56027778,AMKIV                    
661,13.76333333,-10.17166667,AMLAN                    
662,9.157777778,-13.21638889,AMLEB                    
663,-1.899444444,17.03694444,AMLOD                    
664,29.81666667,-10.0225,AMLOK                    
665,6.182222222,16.65666667,AMLOS                    
666,7.409444444,-9.220833333,AMLOV                    
667,35.34638889,-2.181111111,AMNIS                    
668,4,3.833333333,AMPAN                    
669,6.666666667,-7.816666667,AMPAS                    
670,13.72055556,8.763611111,AMPAT                    
671,12.24027778,-1.689722222,AMPEK                    
672,5.255,26.12,AMPER                    
673,8.165833333,55,AMPEX                    
674,3.150277778,14.17055556,AMPIL                    
675,-17.065,48.56,AMPIS                    
676,9.193333333,-13.44277778,AMPOT                    
677,12.3175,13.32472222,AMRAR                    
678,-8.571666667,22,AMRIL                    
679,14.9825,-17.32555556,AMROD                    
680,-9.1975,24.34138889,AMROV                    
681,-6.221666667,43.99333333,AMSAD                    
682,9,-2.664166667,AMSAT                    
683,22,-6.117222222,AMSEN                    
684,18.26638889,-15.80972222,AMSEP                    
685,-1.216944444,16.84888889,AMSIK                    
686,8.768055556,0.7833333333,AMSIL                    
687,11.89833333,17.41,AMSIL                    
688,6.581666667,1.092222222,AMSOM                    
689,-5.39,18.01666667,AMSUX                    
690,14.73611111,-10.99805556,AMTAK                    
691,34,21.93833333,AMTAR                    
692,20.08333333,2.366666667,AMTES                    
693,27.85416667,3,AMTIK                    
694,8.071666667,7.595,AMTIR                    
695,13.16805556,-16.45027778,AMTOL                    
696,-3.070555556,30.42111111,ABM MUYINGA              
697,12.71194444,36.72527778,AMUDO                    
698,6.260833333,6.493055556,AMVED                    
699,33.47833333,12.63166667,AMWAJ                    
700,-13.71,48.005,ANDIL                    
701,30.51666667,21.08333333,ANHAR                    
702,32.97583333,1.5,ANIEB                    
703,4.819166667,17.47472222,ANIPA                    
704,-12.24,16.27166667,ANIPO                    
705,14.74472222,-17.47472222,ANITI                    
706,10.97666667,-5.386666667,ANIXA                    
707,-26.50555556,27.12722222,ANIXU                    
708,-12.13194444,44.42833333,ANJON                    
709,-10,50.58055556,ANKOR                    
710,-5.21,21.99333333,ANOBA                    
711,-1.424444444,5.625,ANOBO                    
712,9.351111111,-5.758611111,ANOMO                    
713,-7.955,24.02638889,ANOTO                    
714,-5.831666667,-16.73333333,ANPIR                    
715,-10.51666667,12.12333333,ANSUS                    
716,-24.82833333,32.97944444,ANSUT                    
717,10.71527778,38.14555556,ANSUV                    
718,-23.76972222,14.90611111,ANSUX                    
719,-23.60472222,36.81388889,ANTAT                    
720,-22.67555556,17.37472222,ANTAV                    
721,4,35.38,ANTAX                    
722,-24.64666667,33.28833333,ANTEM                    
723,-24,13.60111111,ANTEP ENTRY/EXIT         
724,-36.85,10,ANTES                    
725,-0.1366666667,32.74861111,ANTET                    
726,-28.50611111,16.80555556,ANTIL                    
727,-4.601388889,36.12972222,ANTIM                    
728,-21.24166667,55.20388889,ANTIR                    
729,-4.198333333,46.89777778,ANTIS                    
730,-22.01888889,28.3675,ANTOG                    
731,-19.83083333,53.095,ANTOL                    
732,-29.83333333,15,ANTOM                    
